scope,name,metric,mean,std,min,max
global,Bell (2q),PCS,26.733737,19.192884,1.710814,144.906355
global,Bell (2q),Fidelity,0.962342,0.113407,0.172248,1.000000
channel,pulse_channel_1,TDC,3.954960,3.135405,0.000000,22.058014
channel,pulse_channel_1,FDC,49.185858,35.746790,1.317370,254.562993
channel,pulse_channel_1,PCS,26.570409,19.340261,0.658685,136.962664
channel,pulse_channel_2,TDC,3.859334,3.008924,0.000000,24.712068
channel,pulse_channel_2,FDC,52.017686,41.132188,1.468995,331.077875
channel,pulse_channel_2,PCS,27.938510,21.960213,0.734497,177.894972
channel,pulse_channel_3,TDC,3.868853,3.059111,0.000000,20.694417
channel,pulse_channel_3,FDC,48.210712,34.426717,2.355238,259.352456
channel,pulse_channel_3,PCS,26.039783,18.616209,1.177619,139.533639
channel,pulse_channel_4,TDC,4.060236,3.313496,0.000000,25.508056
channel,pulse_channel_4,FDC,51.427271,39.076172,5.402966,336.071275
channel,pulse_channel_4,PCS,27.743754,21.065886,2.701483,176.029106
channel,pulse_channel_5,TDC,4.008458,3.315814,0.000000,24.825285
channel,pulse_channel_5,FDC,50.889461,37.892592,3.567011,303.807479
channel,pulse_channel_5,PCS,27.448960,20.498280,1.783506,162.870863
